 99269 0.0 4.996813646976026
period 141 2.1903316981702914 2.1492191126553797
organs 141 2.1931245983544616 2.1492191126553797
genera 139 2.1958996524092336 2.143014800254095
believe 137 2.1986570869544226 2.1367205671564067
differences 136 2.2013971243204513 2.1335389083702174
domestic 135 2.2041199826559246 2.130333768495006
widely 134 2.2068258760318495 2.1271047983648077
OF 134 2.2095150145426308 2.1271047983648077
form 134 2.2121876044039577 2.1271047983648077
allied 133 2.214843848047698 2.123851640967086
slight 133 2.2174839442139063 2.123851640967086
groups 133 2.220108088040055 2.123851640967086
sometimes 131 2.2227164711475833 2.1172712956557644
characters 130 2.225309281725863 2.113943352306837
whether 129 2.2278867046136734 2.110589710299249
three 128 2.230448921378274 2.1072099696478683
probably 128 2.2329961103921536 2.1072099696478683
On 125 2.2355284469075487 2.0969100130080562
young 125 2.2380461031287955 2.0969100130080562
them 124 2.2405492482826 2.093421685162235
single 124 2.2430380486862944 2.093421685162235
here 124 2.24551266781415 2.093421685162235
manner 124 2.247973266361807 2.093421685162235
As 122 2.250420002308894 2.0863598306747484
small 122 2.2528530309798933 2.0863598306747484
is, 122 2.255272505103306 2.0863598306747484
over 122 2.2576785748691846 2.0863598306747484
either 121 2.2600713879850747 2.0827853703164503
selection, 121 2.2624510897304293 2.0827853703164503
inhabitants 120 2.2648178230095364 2.0791812460476247
general 120 2.2671717284030137 2.0791812460476247
view 119 2.2695129442179165 2.0755469613925306
seems 118 2.271841606536499 2.0718820073061255
give 118 2.27415784926368 2.0718820073061255
facts 118 2.2764618041732443 2.0718820073061255
birds 118 2.278753600952829 2.0718820073061255
If 117 2.2810333672477277 2.0681858617461617
means 117 2.2833012287035497 2.0681858617461617
me 116 2.285557309007774 2.0644579892269186
state 116 2.287801729930226 2.0644579892269186
amount 114 2.290034611362518 2.0569048513364727
differ 113 2.292256071356476 2.0530784434834195
variations 113 2.294466226161593 2.0530784434834195
fact 112 2.296665190261531 2.0492180226701815
various 111 2.298853076409707 2.0453229787866576
always 109 2.3010299956639813 2.037426497940624
living 109 2.303196057420489 2.037426497940624
known 108 2.305351369446624 2.03342375548695
life, 108 2.307496037913213 2.03342375548695
forms, 108 2.3096301674258988 2.03342375548695
quite 107 2.311753861055754 2.0293837776852097
animals, 107 2.3138672203691533 2.0293837776852097
after 103 2.315970345456918 2.012837224705172
seeds 103 2.3180633349627615 2.012837224705172
why 103 2.3201462861110542 2.012837224705172
namely, 103 2.322219294733919 2.012837224705172
geological 102 2.3242824552976926 2.0086001717619175
habits 102 2.326335860928751 2.0086001717619175
who 102 2.3283796034387376 2.0086001717619175
modification 101 2.330413773349191 2.0043213737826426
my 101 2.3324384599156054 2.0043213737826426
up 101 2.3344537511509307 2.0043213737826426
also 101 2.3364597338485296 2.0043213737826426
find 101 2.3384564936046046 2.0043213737826426
greater 101 2.3404441148401185 2.0043213737826426
developed 100 2.342422680822206 2.0
good 99 2.3443922736851106 1.99563519459755
never 99 2.346352974450639 1.99563519459755
ancient 98 2.3483048630481607 1.9912260756924949
shall 98 2.3502480183341627 1.9912260756924949
descended 98 2.3521825181113627 1.9912260756924949
THE 97 2.3541084391474008 1.9867717342662448
come 96 2.3560258571931225 1.9822712330395684
shown 95 2.357934847000454 1.9777236052888478
plants, 95 2.359835482339888 1.9777236052888478
own 95 2.361727836017593 1.9777236052888478
varieties, 95 2.3636119798921444 1.9777236052888478
existing 95 2.3654879848909 1.9777236052888478
beings 95 2.367355921026019 1.9777236052888478
does 94 2.369215857410143 1.9731278535996986
highly 94 2.3710678622717363 1.9731278535996986
use 94 2.3729120029701067 1.9731278535996986
successive 94 2.374748346010104 1.9731278535996986
belonging 94 2.376576957056512 1.9731278535996986
group 94 2.3783979009481375 1.9731278535996986
together 94 2.380211241711606 1.9731278535996986
theory 93 2.3820170425748683 1.968482948553935
early 93 2.383815365980431 1.968482948553935
however, 93 2.385606273598312 1.968482948553935
formed 92 2.387389826338729 1.9637878273455553
individual 92 2.3891660843645326 1.9637878273455553
principle 92 2.3909351071033793 1.9637878273455553
character 92 2.392696953259666 1.9637878273455553
sterility 91 2.3944516808262164 1.9590413923210936
animal 91 2.3961993470957363 1.9590413923210936
seen 91 2.3979400086720375 1.9590413923210936
hardly 90 2.399673721481038 1.954242509439325
perfect 90 2.401400540781544 1.954242509439325
islands 90 2.403120521175818 1.954242509439325
difference 90 2.404833716619938 1.954242509439325
When 89 2.406540180433955 1.9493900066449128
other, 89 2.4082399653118496 1.9493900066449128
insects 89 2.4099331233312946 1.9493900066449128
work 89 2.41161970596323 1.9493900066449128
called 89 2.413299764081252 1.9493900066449128
without 89 2.4149733479708178 1.9493900066449128
made 88 2.416640507338281 1.9444826721501687
With 88 2.4183012913197452 1.9444826721501687
hybrids 87 2.419955748489758 1.9395192526186185
